Initials,rental_link,rental_company,city,text_prompt,text_stimuli (title),text_stimuli,text_type,text_word_count,gAI_system_texts,reword,place_prompt,place_stimuli,place_type,gAI_system_places,face_stimuli,face_type,gAI_system_faces,ai_score,listing_type,features
,link,AirBnb,"New Orleans, LO",NA,Algiers Point,"If you love vibrant architecture, then you'll love Algiers Point. It's the second oldest neighborhood in New Orleans, minutes away from the French Quarter. Algiers Point offers delicious food, local bars with live music and much chiller vibes. Our charming loft is a private suite and offers a full stack kitchen, access to a spacious gated courtyard, and sleeps 3 to 4 people. You'll have access to 2 Schwinn bikes you can ride along the river and an outdoor tub to cool down in when you return.",Human,87,NA,NA,NA,stimuli/Human/human_places_intervention_20/human_neworleans.jpg,Human,NA,stimuli/Human/human_faces_intervention_20/9.R.B.F.png,Human,NA,0,Human,multifeatured
AL,NA,NA,"Miami, FL","Create and describe in 75 words a unique vacation rental in Miami, FL with the title Cozy studio with private garden including proximity to the Miami airport.","
Charming Studio with Private Garden
","

Located just 10 minutes from Miami International Airport, this cozy studio offers a peaceful retreat in the heart of the city. The stylish, open-plan space features a comfortable queen bed, a kitchenette, and a spacious bathroom. Outside, unwind in your own lush private garden, perfect for enjoying a quiet morning or a relaxing evening. Close to popular dining and attractions, itís the perfect blend of convenience and tranquility for couples or solo travelers.",AI,73,ChatGPT,Yes,"Create an image of the front view of the described vacation rental listing: [""
Charming Studio with Private Garden:    
Located just 10 minutes from Miami International Airport, this cozy studio offers a peaceful retreat in the heart of the city. The stylish, open-plan space features a comfortable queen bed, a kitchenette, and a spacious bathroom. Outside, unwind in your own lush private garden, perfect for enjoying a quiet morning or a relaxing evening. Close to popular dining and attractions, itís the perfect blend of convenience and tranquility for couples or solo travelers.""].",stimuli/AI/ai_places_intervention_20/ai_miami.jpg,AI,Mage (General Fast -- Stable Diffusion XL),stimuli/AI/ai_faces_intervention_20/3.S.W.F.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Las Vegas, NV",NA,"Twin Palms Las Vegas
","
If you can pull yourself away from the amazing and tranquil views, this historic mid-century modern home is located less than 10 minutes from The Strip, Downtown, shopping, and restaurants. It boasts a spacious floor plan, a large outdoor living area, pool, & bbq area, perfect for making new memories with friends & family. Like golf? This home sits on an award-winning golf course. Walk to the club house for breakfast or lunch, or dare I suggest a Bloody Mary?",Human,82,NA,NA,NA,stimuli/Human/human_places_intervention_20/human_lasvegas.jpg,Human,NA,stimuli/Human/human_faces_intervention_20/23.R.EA.F.png,Human,NA,0.3,Human,multifeatured
AL,NA,NA,"Simi Valley, CA","Create and describe in 75 words a unique vacation rental in Simi Valley, CA with the title Secluded Simi Sensation including the Santa Monica Mountains. ",Secluded Simi Sensation,"
Tucked away at the base of the picturesque Santa Monica Mountains, this peaceful retreat in Simi Valley offers a perfect escape. The modern-rustic rental boasts a spacious open floor plan, a refreshing pool, and a scenic deck with breathtaking mountain views. Ideal for nature enthusiasts, explore nearby hiking trails or unwind by the fire pit under the stars. With cozy interiors and a fully equipped kitchen, itís a serene getaway for couples or small gatherings.",AI,75,ChatGPT,Yes,Create an image of the front view of the described vacation rental listing:,stimuli/AI/ai_places_intervention_20/ai_simivalley.jpg,AI,Mage (General Fast -- Stable Diffusion XL),stimuli/AI/ai_faces_intervention_20/4.S.B.M.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Phoenix, AZ",NA,Lux+History+Htd Pool/Spa Ctrl to Spring Training,"Built in 1928, yet remodeled and professionally decorated in 2022, this Spanish Colonial Revival masterpiece on an idyllic palm-lined avenue adjacent to Encanto Park is the ideal getaway. Stroll the surrounding storybook lanes, cool off in the private pool, soak in the hot tub, lounge by the fire pit, or sleep late in one of 3 luxuriously appointed king bedrooms, including a main floor primary with en-suite bath. 2-car off-street parking and super-fast wifi make this the ideal home base.
",Human,80,NA,NA,NA,stimuli/Human/human_places_intervention_20/human_phoenix.jpg,Human,NA,stimuli/Human/human_faces_intervention_20/44.R.EA.F.png,Human,NA,,Human,multifeatured
AL/SM,NA,NA,"Philadelphia, PA","Create and describe in 75 words a unique vacation rental in Philadelphia, PA with the title The Bainbridge Trinity including it being in Queen Village neighborhood","The Bainbridge Trinity
","
Located in the heart of Philadelphiaís historic Queen Village neighborhood, The Bainbridge Trinity offers a perfect blend of modern comfort and classic charm. This beautifully restored trinity-style home boasts three spiral-staircase levels, a welcoming living area, a fully equipped kitchen, and a peaceful private patio. Set amidst cobblestone streets and lively local dining, itís an ideal retreat for exploring the cityís rich history and culture while enjoying the cozy elegance of this unique urban haven.",AI,75,ChatGPT,Yes,"Create an image of the front view of the described vacation rental listing: [""
The Bainbridge Trinity
Located in the heart of Philadelphiaís historic Queen Village neighborhood, The Bainbridge Trinity offers a perfect blend of modern comfort and classic charm. This beautifully restored trinity-style home boasts three spiral-staircase levels, a welcoming living area, a fully equipped kitchen, and a peaceful private patio. Set amidst cobblestone streets and lively local dining, itís an ideal retreat for exploring the cityís rich history and culture while enjoying the cozy elegance of this unique urban haven.""].",stimuli/AI/ai_places_intervention_20/ai_philadelphia.jpg,AI,Gemini (2.0 Flash),stimuli/AI/ai_faces_intervention_20/6.S.SA.F.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"San Antonio, TX",NA,The Plumeria Retreat on the Lake,"This recently built 2-bedroom, 2-bath San Antonio vacation rental is the perfect home base for a relaxing retreat with family or friends! Nestled in Towne Lake Subdivision, this home features free EV L2 charging, 3 Smart TVs, a fully equipped kitchen & furnished deck. Sip your coffee from the deck & enjoy the lake and plumeria garden views. Spend your time hiking local trails before heading out for shopping/sightseeing. Please note: This property is on the 2nd floor & requires stairs to access",Human,80,NA,NA,NA,stimuli/Human/human_places_intervention_20/human_sanantonio.jpg,Human,NA,stimuli/Human/human_faces_intervention_20/7.R.SA.M.png,Human,NA,,Human,multifeatured
AL/SM,NA,NA,"San Diego, CA","Create and describe in 75 words a unique vacation rental in San Diego, CA with the title Fresh, hip and cozy private North Park guest house including it being near the San Diego Zoo","Fresh, Hip, and Cozy Private North Park Guest House
","This stylish and modern guest house in San Diegoís trendy North Park neighborhood provides a comfortable escape just a short drive from the San Diego Zoo. Featuring a cozy queen bed, a sleek kitchenette, a beautifully designed bathroom, and a private patio for unwinding, itís a perfect blend of charm and convenience. Surrounded by craft breweries, eclectic restaurants, lively boutique shops, and vibrant nightlife, this peaceful retreat offers the ideal base for exploring the city.",AI,72,ChatGPT,Yes,"Create an image of the front view of the described vacation rental listing: [""
Fresh, Hip, and Cozy Private North Park Guest House
This stylish and modern guest house in San Diegoís trendy North Park neighborhood provides a comfortable escape just a short drive from the San Diego Zoo. Featuring a cozy queen bed, a sleek kitchenette, a beautifully designed bathroom, and a private patio for unwinding, itís a perfect blend of charm and convenience. Surrounded by craft breweries, eclectic restaurants, and boutique shops, this peaceful retreat offers the ideal base for exploring the city.""].",stimuli/AI/ai_places_intervention_20/ai_sandiego.jpg,AI,Gemini (2.0 Flash),stimuli/AI/ai_faces_intervention_20/50.S.SA.F.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Dallas, TX",NA,New Build Luxury Property in the Heart of Dallas!,"Welcome to our ultra luxury property that is located in the heart of Dallas minutes from downtown and is a brand new build! We have furnished the property with high end furniture and finishes! The property is located in a prime area of Dallas and is 5 minutes away from American Airlines Center, Katy Trail, Deep Ellum, Downtown, and Uptown. We provide garage parking for your vehicle at no extra charge! We have also created an amazing, relaxing space on the rooftop deck that overlooks downtown!",Human,86,NA,NA,NA,stimuli/Human/human_places_intervention_20/human_dallas.jpg,Human,NA,stimuli/Human/human_faces_intervention_20/20.R.B.M.png,Human,NA,,Human,multifeatured
AL/SM,NA,NA,"San Jose, CA","Create and describe in 75 words a unique vacation rental in San Jose, CA with the title Evergreen Valley Hillside retreat including its view over the city of San Jose","Evergreen Valley Hillside Retreat
","Perched in the scenic Evergreen Valley of San Jose, this stylish hillside getaway boasts breathtaking views of the city skyline and Santa Clara Valley. The retreat features expansive windows, a private balcony, and a tranquil patio complete with a firepit. With a fully-equipped kitchen, cozy living spaces, and elegant bedrooms, itís perfect for families or couples. Enjoy nearby hiking trails or relax as the sparkling city lights create an enchanting evening ambiance. A serene escape awaits!",AI,76,ChatGPT,Yes,"Create an image of the front view of the described vacation rental listing: [""
Evergreen Valley Hillside Retreat
Perched in the scenic Evergreen Valley of San Jose, this stylish hillside getaway boasts breathtaking views of the city skyline and Santa Clara Valley. The retreat features expansive windows, a private balcony, and a tranquil patio complete with a firepit. With a fully-equipped kitchen, cozy living spaces, and elegant bedrooms, itís perfect for families or couples. Enjoy nearby hiking trails or relax as the sparkling city lights create an enchanting evening ambiance. A serene escape awaits!""].",stimuli/AI/ai_places_intervention_20/ai_sanjose.jpg,AI,Gemini (2.0 Flash),stimuli/AI/ai_faces_intervention_20/40.S.W.F.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Albuquerque, NM",NA,Mountain house 18 minutes from ABQ airport,"Desert Mountain Retreat is a contemporary southwestern home nestled in the foothills of the Sandia & Manzano Mountains. Recently renovated, Desert Mountain is at once modern yet traditional, reflecting the deep history of New Mexican architecture & style, with contemporary design elements. Our home is surrounded by mountains & high desert with plenty of space & hiking trails, yet only 18 minutes to the airport, 12 minutes to downtown, and 5 minutes to grocery stores & other services.",Human,73,NA,NA,NA,stimuli/Human/human_places_intervention_20/human_albuquerque.jpg,Human,NA,stimuli/Human/human_faces_intervention_20/43.R.B.M.png,Human,NA,,Human,multifeatured
SM,NA,NA,"Colorado Springs, CO","Create and describe in 75 words a unique vacation rental in Colorado Springs, CO with the title Mountain View New Construction including being close to Pikes Peak",Mountain View New Construction ,"Mountain View New Construction is a modern, stylish vacation rental nestled in the heart of Colorado Springs, offering breathtaking views of Pikes Peak. This newly built retreat boasts sleek interiors with an open-concept layout, a fully equipped kitchen, and cozy furnishings. Enjoy the spacious patio, perfect for sipping coffee or stargazing. Conveniently located near hiking trails, Garden of the Gods, and downtown attractions, itís an ideal base for exploring the wonders of the Rocky Mountains.",AI,75,ChatGPT,No,"Create an image of the front view of the described vacation rental listing: [""
Mountain View New Construction is a modern, stylish vacation rental nestled in the heart of Colorado Springs, offering breathtaking views of Pikes Peak. This newly built retreat boasts sleek interiors with an open-concept layout, a fully equipped kitchen, and cozy furnishings. Enjoy the spacious patio, perfect for sipping coffee or stargazing. Conveniently located near hiking trails, Garden of the Gods, and downtown attractions, itís an ideal base for exploring the wonders of the Rocky Mountains.""].",stimuli/AI/ai_places_intervention_20/ai_coloradosprings.jpg,AI,Mage (General Fast -- Stable Diffusion XL),stimuli/AI/ai_faces_intervention_20/15.S.W.M.png,AI,StyleGAN2,,AI,multifeatured
