Initials,rental_link,rental_company,city,text_prompt,text_stimuli (title),text_stimuli,text_type,text_word_count,gAI_system_texts,reword,place_prompt,place_stimuli,place_type,gAI_system_places,face_stimuli,face_type,gAI_system_faces,ai_score,listing_type,features
,link,AirBnb,"Louisville, Kentucky",NA, Edward Tyler House,"Historic, unique, tasteful and serene - the Edward Tyler house, ca. 1783, is a stone cabin 20 minutes SE of Louisville on 13 acre estate. Near the famous bourbon trail, rental includes full cabin and large screen porch overlooking pond with fountain. First floor has living/dining/kitchen space with small sofa bed and stone fireplace (gas); queen bed and full bath on second floor. American and European antique furnishings and fine art welcome you to fully updated home with central HVAC.",Human,79,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0,Human,text
AL,NA,NA,"Broken Arrow, OK","Create and describe in 75 words a unique vacation rental in Broken Arrow, OK with the title Rose Districtís Lofted Tiny Home including its proximity to the Rose District. ","Rose Districtís Lofted Tiny Home

","

Situated steps from Broken Arrow's lively Rose District, this cozy lofted tiny home offers a perfect retreat. Just a 2-minute stroll to Main Street, guests can explore boutique shops, trendy restaurants, and local events. The thoughtfully designed space features modern amenities, a snug loft bedroom, and a charming patio for relaxation. Perfect for couples or solo adventurers, this unique rental combines comfort and convenience in the heart of Broken Arrowís most vibrant area.",AI,73,ChatGPT,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link,AirBnb,"Indianapolis, Indiana",NA,Home in Indianapolis,"Cozy 2 bedroom, 1 bathroom home near all that downtown Indy has to offer! Located minutes from Lucas Oil, Gainbridge Fieldhouse, and the Indianapolis Convention Center. This home is also a short walk from the popular Fountain Square neighborhood. There is also an Ice cream shop directly across the Street! Free Street Parking, as well as a parking spot available on the property.",Human,63,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0,Human,text
AL,NA,NA,"Raleigh, NC","Create and describe in 75 words a unique vacation rental in Raleigh, NC with the title Creekside Hideaway - Hot Tub, 10 min to downtown including its location in secluded woods.","Creekside Hideaway - Hot Tub, 10 Min to Downtown

","

Tucked away in a tranquil wooded area of Raleigh, Creekside Hideaway provides the perfect blend of nature and convenience, just 10 minutes from downtown. This stylish retreat features a fully equipped kitchen, cozy living spaces, and comfortable bedrooms. Relax on the deck overlooking the serene forest or enjoy the private hot tub under the night sky. With a charming creek nearby, itís an ideal getaway for couples or small groups seeking relaxation and easy city access.",AI,76,ChatGPT,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link,AirBnb,"Sunnyvale, CA",NA,"
Convenient, comfortable bed and bath in Sunnyvale!","Our home, located in the heart of Silicon Valley, close to the Apple Spaceship, Stanford University, and Rancho San Antonio Park, provides a comfortable retreat from a busy travel/work day. Our neighborhood is quiet, friendly, and convenient to parks, schools, and two small shopping centers with a Starbucks, Zanotto's market/deli, and several local restaurants. We are excited to open our home to visitors from around the world. As we cook and bake frequently , homemade treats may be on offer!",Human,80,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0,Human,text
AL,NA,NA,"Fayetteville, NC","Create and describe in 75 words a unique vacation rental in Fayetteville, NC with the title R&S Guesthouse #2 Fayetteville/Fort Liberty including its closeness to the Segra Stadium","R&S Guesthouse #2 Fayetteville/Fort Liberty

","Discover comfort at R&S Guesthouse #2, a stylish two-bedroom haven located just 10 minutes from Segra Stadium. Perfect for sports enthusiasts or Fort Liberty visitors, this rental features a fully equipped kitchen, cozy furnishings, and a private patio to unwind. Enjoy free Wi-Fi, streaming options, and a peaceful setting in a charming neighborhood. Close to downtown Fayetteville, you'll have easy access to dining, shopping, entertainment, and local attractions. Perfect for both leisure and business travelers seeking convenience and ultimate relaxation!",AI,80,ChatGPT,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link,AirBnb,"Austin, TX",NA,"Chic, Quiet + Central - Washington Cottage!","Enjoy a stylish experience at this centrally-located cottage in a quiet little neighborhood! 5m to SoCo attractions, 3m to incredible food choices, 2m to St. Davids Hospital, and 4m from grocery. Bespoke and grand open living, dining, and kitchen spaces lead to two charming bedrooms each with its own gorgeous bathroom! A backyard fire pit and sitting area with some Austin charm! You will not regret your visit to this little bit of heaven!",Human,74,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,Human,text
AL/SM,NA,NA,"Jacksonville, FL","Create and describe in 75 words a unique vacation rental in Jacksonville, FL with the title Studio styled barn on a Florida pecan farm including its pecan orchard","Studio-Styled Barn on a Florida Pecan Farm
","Experience a tranquil getaway at this cozy, studio-style barn set on a picturesque pecan farm near Jacksonville, FL. Combining rustic charm with modern amenities, the space includes a full kitchen, king-sized bed, and a private deck with stunning orchard views. Stroll through the pecan trees, enjoy fresh farm pecans, and soak in the serene surroundings. Conveniently located near Jacksonville's beaches and attractions, this unique retreat offers the perfect blend of comfort and countryside relaxation.",AI,74,ChatGPT,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link,AirBnb,"Fort Worth, TX",NA,"Bluebonnet House - ""Discounted"" Stay, Close to TCU
","Welcome to the Bluebonnet House!
This cute house was lovingly remodeled in 2023, is located 1.1 miles from TCU, and is very close to other great Fort Worth attractions such as the Fort Worth Zoo, Botanic Gardens, the Museum District, and Sundance Square. You will feel right at home in our 1950s 2 bedroom, 1 and a half bathroom house with modern amenities. The open concept is perfect for small groups of family and friends. At night sit, outside on the spacious patio and enjoy the fire pit.
",Human,88,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,Human,text
AL/SM,NA,NA,"Columbus, OH","Create and describe in 75 words a unique vacation rental in Columbus, OH with the title Grandview Post-War Charmer including its proximity to Ohio State University","Grandview Post-War Charmer
","Discover this cozy, mid-century post-war gem nestled in Grandview Heights, just 10 minutes from Ohio State University. This charming 2-bedroom rental blends vintage flair with modern amenities, featuring original hardwood floors, a retro kitchenette, and a private garden patio. Walk to vibrant shops, restaurants, and breweries, or enjoy quiet evenings in the cozy living room. Perfect for Buckeye fans, families, or professionals, it offers a unique blend of comfort, history, local charm, and unbeatable convenience.",AI,72,ChatGPT,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
