Initials,rental_link,rental_company,city,text_prompt,text_stimuli (title),text_stimuli,text_type,text_word_count,gAI_system_texts,reword,place_prompt,place_stimuli,place_type,gAI_system_places,face_stimuli,face_type,gAI_system_faces,ai_score,listing_type,features
AL,NA,NA,"Grand Prarie, TX","Create and describe in 75 words a unique vacation rental in Grand Prairie, TX with the title Chic 2Bed 1Bath House Near AT&T Stadium including its closeness to the Naval Air Station",Chic 2Bed 1Bath House Near AT&T Stadium,"
Experience comfort and style in this beautifully updated 2-bedroom, 1-bathroom vacation rental in Grand Prairie, TX. Located just 10 minutes from AT&T Stadium and 15 minutes from the Naval Air Station, itís an ideal spot for sports enthusiasts and military guests. The home features a modern kitchen, inviting living space, and luxurious bedding. Enjoy the private patio with a BBQ grill, while being close to shopping, dining, and entertainment for a convenient and enjoyable stay.",AI,75,ChatGPT,Yes,Create an image of the front view of the described vacation rental listing:,stimuli/AI/ai_places_assessment_24/ai_grandprarie.jpg,AI,Mage,stimuli/AI/ai_faces_assessment_24/11.S.W.M.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Boulder, Colorado",NA,Secluded modern mountain home with stunning view,"A tranquil and luxurious retreat 25 minutes (10 miles) from downtown Boulder. Enjoy ultimate seclusion at the end of a mile long private gravel driveway surrounded by hundreds of acres of open space. Star gaze from the hot tub, cook gourmet meals in the spacious kitchen, or just sit on the sofa, sip on a cappuccino, and watch clouds form over the mountains through the 17 foot high glass wall.",Human,70,NA,NA,NA,stimuli/Human/human_places_assessment_24/human_boulder.jpg,Human,NA,stimuli/Human/human_faces_assessment_24/4.R.SA.M.png,Human,NA,0,Human,multifeatured
AL,NA,NA,"Kansas City, MO","Create and describe in 75 words a unique vacation rental in Kansas City, MO with the title Cozy Cottage in the heart of Kansas City including its 1940s cottage charm", Charming 1940s Cottage ,"Step back in time at this charming 1940s cottage nestled in Kansas Cityís lively urban core. This beautifully restored gem features vintage decor, original hardwood floors, and a quaint fireplace for ultimate comfort. Modern updates include a fully equipped kitchen and luxurious linens. Enjoy the private garden patio, perfect for morning coffee, evening wine, or relaxation. Located minutes from Westport and the Plaza, itís an ideal retreat blending old-world charm with city convenience and modern amenities.",AI,72,ChatGPT,Yes,Create an image of the front view of the described vacation rental listing:,stimuli/AI/ai_places_assessment_24/ai_kansascity1.jpg,AI,Mage,stimuli/AI/ai_faces_assessment_24/22.S.SA.M.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Lakewood, CO",NA,Lakewood Solar Home Retreat,"Beautiful, sustainable, all solar home with lots of windows and a view of the mountains in a safe farm-y neighborhood served by Uber, 10 min. from Red Rocks Amphitheater, the charming town of Morrison, Dinosaur Ridge, Bear Creek Lake, hiking/biking and the Rocky Mountains, just 20 min. from downtown Denver, the Broncos, Rockies, etc. Your suite is the lower level of our home with a private entrance & patio . No smokingócigarettes, vaping, or marijuana. No Pets or animals.",Human,77,NA,NA,NA,stimuli/Human/human_places_assessment_24/human_lakewood.jpg,Human,NA,stimuli/Human/human_faces_assessment_24/47.R.W.M.png,Human,NA,0,Human,multifeatured
AL,NA,NA,"Cape Coral, Fl","Create and describe in 75 words a unique vacation rental in Cape Coral, FL with the title Heated Pool on Honeymoon Lake including its heated pool","Heated Pool on Honeymoon Lake
","
Discover your perfect escape at this tranquil Cape Coral retreat, boasting a heated pool with stunning Honeymoon Lake views. This inviting home features three comfortable bedrooms, an airy open-concept living space, and floor-to-ceiling windows framing the serene waterfront. Relax by the pool, fish from the private dock, or dine outdoors on the spacious lanai. Close to pristine beaches, vibrant dining, and local attractions, this getaway promises a peaceful and unforgettable Florida vacation experience.",AI,73,ChatGPT,Yes,Create an image of the front view of the described vacation rental listing:,stimuli/AI/ai_places_assessment_24/ai_capecoral.jpg,AI,Mage,stimuli/AI/ai_faces_assessment_24/8.S.B.F.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"St. Louis, MO",NA,"Little Red House, Entire House in Tower Grove East","This 2 Bedroom 1 Bath home is centrally located in Tower Grove East, 5 minutes from St. Louis University, 8 minutes from Grand Center and just a few short blocks from hip South Grand and Tower Grove. It is the entire house, no neighbors to bother you. The block is quiet and the neighbors are friendly but please note this house is located in an urban area. While generally safe it is racially and economically mixed. Please set your expectations accordingly.",Human,81,NA,NA,NA,stimuli/Human/human_places_assessment_24/human_stlouis.jpg,Human,NA,stimuli/Human/human_faces_assessment_24/36.R.B.M.png,Human,NA,0,Human,multifeatured
AL/SM,NA,NA,"San Francisco, CA","Create and describe in 75 words a unique vacation rental in San Francisco, CA with the title La Casita - a quiet studio, Crocker Amazon area including it is a detached studio",La Casita - Quiet Detached Studio in Crocker Amazon,"
Tucked away in the peaceful Crocker Amazon neighborhood of San Francisco, La Casita is a charming detached studio perfect for a quiet escape. This cozy space includes a comfortable queen bed, a private kitchenette, and a lovely garden patio for relaxing. Located near local cafes, beautiful parks, and convenient public transportation, itís an ideal retreat for solo travelers or couples seeking tranquility while staying connected to the cityís lively attractions.",AI,70,ChatGPT,Yes,"Create an image of the front view of the described vacation rental listing: [""
La Casita - Quiet Detached Studio in Crocker Amazon
Tucked away in the peaceful Crocker Amazon neighborhood of San Francisco, La Casita is a charming detached studio perfect for a quiet escape. This cozy space includes a comfortable queen bed, a private kitchenette, and a lovely garden patio for relaxing. Located near local cafes, beautiful parks, and convenient public transportation, itís an ideal retreat for solo travelers or couples seeking tranquility while staying connected to the cityís lively attractions.""].",stimuli/AI/ai_places_assessment_24/ai_sanfrancisco.jpg,AI,Gemini (2.0 Flash),stimuli/AI/ai_faces_assessment_24/9.S.SA.M.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Charlotte, NC",NA,A-Frame of Mind & 30 min from city. Free Breakfast,"Take it easy at this unique and tranquil getaway. Enjoy the peacefulness and serenity, while being only 30 min away from the city. Nestled in Mint Hill area , this beautiful and unique A-Frame house been fully renovated and equipped to entertain and to never disappoint. Escape to fresh air , warm fire and starry nights. Breakfast is provided. The house accommodates 6 adults 2 kids, only 1 shower.",Human,68,NA,NA,NA,stimuli/Human/human_places_assessment_24/human_charlotte.jpg,Human,NA,stimuli/Human/human_faces_assessment_24/22.R.SA.F.png,Human,NA,,Human,multifeatured
AL/SM,NA,NA,"Denver, CO","Create and describe in 75 words a unique vacation rental in Denver, CO with the title Charming carriage house w/ private patio including its private garden patio","
Cozy Carriage House w/ Private Garden Patio
","

Discover a peaceful Denver getaway in this charming carriage house tucked into a quiet neighborhood. Blending modern comfort with rustic flair, it features a fully equipped kitchenette, a cozy lofted bedroom, and inviting, vibrant decor. Step onto your private garden patio, a tranquil space perfect for sipping coffee or unwinding in the evening. Conveniently located just minutes from downtown and top attractions, this delightful retreat offers an ideal balance of relaxation and accessibility.",AI,73,ChatGPT,Yes,"Create an image of the front view of the described vacation rental listing: [""
Cozy Carriage House w/ Private Garden Patio
Discover a peaceful Denver getaway in this charming carriage house tucked into a quiet neighborhood. Blending modern comfort with rustic flair, it features a fully equipped kitchenette, a cozy lofted bedroom, and inviting, vibrant decor. Step onto your private garden patio, a tranquil space perfect for sipping coffee or unwinding in the evening. Conveniently located just minutes from downtown and top attractions, this delightful retreat offers an ideal balance of relaxation and accessibility.""].",stimuli/AI/ai_places_assessment_24/ai_denver.jpg,AI,Gemini (2.0 Flash),stimuli/AI/ai_faces_assessment_24/7.S.SA.M.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Seattle, WA",NA,The Pacific Northwest Getaway,"Eat, sleep and be in the forest.  A cocoon of luxury located in the heart of the Pacific Northwest.  One of the best locations to experience everything the PNW has to offer.     Get a good nights rest and then head out to explore! Seattle (20mi) SeaTac Intl Airport (17mi), Bellevue (15 mi), DT Issaquah (4 mi), Mt. Rainier Nat'l Park (44 mi), Snoqualmie Falls (16 mi) Chateau Ste. Michelle Winery (24 mi), Snoqualmie Pass (42 mi) Crystal Mountain Ski Resort (63 mi)",Human,82,NA,NA,NA,stimuli/Human/human_places_assessment_24/human_seattle.jpg,Human,NA,stimuli/Human/human_faces_assessment_24/29.R.W.F.png,Human,NA,,Human,multifeatured
