Initials,rental_link,rental_company,city,text_prompt,text_stimuli (title),text_stimuli,text_type,text_word_count,gAI_system_texts,reword,place_prompt,place_stimuli,place_type,gAI_system_places,face_stimuli,face_type,gAI_system_faces,ai_score,listing_type,features
,link,AirBnb,"Hubbardston, Massachusetts",NA,"Private Entry, Full Kitchen, Close to Mt Wachuset","Your home away from home is a spacious & newly renovated basement apartment /in-law suite (approx 1100 square feet), located below the main house & in walkable neighborhood. The unit has its own private entrance (bathroom, full kitchen, living room & bedroom with queen bed & extra tv). Hubbardston is a quaint little town with no stop-lights yet conveniently located to many beautiful hiking trails, fishing spots, lakes & only 15 minutes from Mt Wachusetts & 10 minutes from Rt 2 west.",Human,76,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0,Human,text
AL,NA,NA,"Overland Park, KS","Create and describe in 75 words a unique vacation rental in Overland Park, KS with the title Convenient Overland Park cottage on quiet street including pets being welcome",Convenient Overland Park Cottage on Quiet Street ñ Pets Welcome!,"Nestled on a serene, tree-lined street, this charming two-bedroom cottage offers a cozy retreat in Overland Park. Featuring a fully equipped kitchen, a fenced backyard for pets, and a comfortable living area, it's perfect for families or remote workers. Enjoy nearby parks, shops, and dining just minutes away. With free Wi-Fi, off-street parking, and pet-friendly amenities, this home ensures a relaxing stay for allówhether you're visiting for business or leisure! Unwind on the cozy front porch with your morning coffee or evening tea.",AI,82,ChatGPT,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link,AirBnb,"Fort Collins, CO",NA,Colorado Modern Cabin,"This beautiful, modern cabin, is showered in sunlight. Just 2.5 miles from downtown, yet a stones throw from all the outdoor adventures in the foothills, Horsetooth Reservoir, Poudre River, mountain biking & hiking. With apple trees, berries & gardens, this quiet country setting is one of the best locations in town. Soak in the Colorado sunshine w/ the passive solar design. Relax in the evenings taking in the mountain sunsets while enjoying a fire pit on the back porch.",Human,77,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0,Human,text
AL,NA,NA,"Mesa, AZ","Create and describe in 75 words a unique vacation rental in Mesa, AZ with the title Near Lost Dutchman, Saguaro Lake & GoldfieldMine including its South-West theme","Near Lost Dutchman, Saguaro Lake & Goldfield Mine","Experience a charming Southwest escape in Mesa, AZ, where rustic elegance meets modern amenities. This beautifully designed rental showcases warm desert hues, handcrafted wooden furnishings, and unique cactus-inspired accents. Unwind in the private courtyard with a cozy fire pit, or explore nearby attractions like Lost Dutchman State Park, Saguaro Lake, and Goldfield Ghost Town. With stunning mountain vistas and vibrant desert sunsets, this peaceful desert retreat offers charm and comfort for adventurers and history enthusiasts alike.",AI,76,ChatGPT,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link,AirBnb,"Spokane, Washington",NA, Funky D Barnery,"Come enjoy our beautiful private resort nestled next to our vineyard with breathtaking views of the sunset, sipping a glass of wine while taking a soak in the hot tub, or going full on Norwegian in the outdoor cedar sauna and plunge into the pool. Then come back inside, curl up by the wood stove and relax.
We have renovated this 1906 barn into a perfect guest suite including all the modern conveniences without losing the rustic elegance of the past. Welcome to the Funky D Ranch.",Human,87,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0,Human,text
AL,NA,NA,"Kansas City, Kansas","Create and describe in 75 words a unique vacation rental in Kansas City, Kansas with the title Enjoy Nature at Modern Farmhouse Close to City including it is a renovated 1933 bungalow","
Enjoy Nature at Modern Farmhouse Close to City

","


Experience the perfect blend of rustic charm and modern living in this beautifully renovated 1933 bungalow in Kansas City, Kansas. Surrounded by greenery, this cozy retreat offers an open-concept layout with a fully-equipped kitchen, original hardwood floors, and stylish vintage touches. Relax on the wraparound porch or gather around the outdoor firepit. Just minutes from downtown, this peaceful getaway provides a serene escape while keeping you close to the cityís top attractions and amenities.",AI,74,ChatGPT,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link,AirBnb,"El Paso, TX",NA,West side 5 bedroom home! Location! Location!!!,This stylish place to stay is perfect for a family trip and group trips. This fully renovated home features 5 bedrooms and 3 full baths! While staying here you will be sleeping on 14 inch euro top mattresses in each bedroom. Spacious open concept designed home where you can create new memories with friends and family. 2 car port available for parking. Equipped with 2 refrigerated air units and washer and dryer! You will be minutes away from shopping and many restaurants. Minutes away from 1-10.,Human,86,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,Human,text
AL/SM,NA,NA,"Nashville, TN","Create and describe in 75 words a unique vacation rental in Nashville, TN with the title Stylish Midcentury Gamehouse in East Nashville including its 60's ranch house aesthetic","Stylish Midcentury Gamehouse in East Nashville
","
Experience retro vibes in this chic 1960s-inspired ranch home in East Nashville. Adorned with authentic midcentury furniture, vibrant colors, and vintage accents, itís a nostalgic getaway with modern flair. The game room boasts a pool table, retro arcade games, and a vinyl record collection for endless entertainment. Relax on the spacious patio with a firepit and grill. Conveniently located near trendy eateries and music spots, itís the ultimate mix of style, fun, and comfort.",AI,74,ChatGPT,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link,AirBnb,"Detroit, MI",NA,Minty Corktown Retreat with Garden,"Located in Detroit's Corktown historic district, a victorian bungalow home originally built in 1893 and renovated with a mid-century, eclectic contemporary interior. Enjoy a small outdoor garden for summer meals outside and across the street from a city park with a playground. Walking distance to Michigan Central and Michigan Ave. - Alba Coffee, Ima, Slow's BBQ, Motor City Wine, Mercury Bar, and more. One mile from downtown and riverfront.",Human,68,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,Human,text
AL/SM,NA,NA,"Oklahoma City, OK","Create and describe in 75 words a unique vacation rental in Oklahoma City, OK with the title Cheerful 2-Bedroom Home in Paseo Arts District including being in the heart of the Paseo Arts district",Cheerful 2-Bedroom Home in Paseo Arts District,"Located in the lively Paseo Arts District of Oklahoma City, this delightful 2-bedroom home offers a welcoming escape. Surrounded by art galleries, boutique shops, and fantastic restaurants, itís perfect for exploring the areaís creative vibe. The home features inviting decor, a fully equipped kitchen, and a cozy private patio for relaxing. Enjoy modern amenities, comfortable furnishings, and easy access to local attractions. With its prime location and warm atmosphere, this rental provides the ideal balance of comfort and culture in one of OKCís most vibrant neighborhoods.",AI,86,ChatGPT,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link,AirBnb,"Portland, OR",NA,"Spacious, bright garden studio on Peninsula Park","Explore the world-class restaurants, coffee shops and bars in the nearby Williams and Mississippi districts. Take a stroll around the award winning (and oldest) rose garden in the City of Roses across the street in Peninsula Park. At home, this second story studio has extra space in the meditation loft, a full kitchen, fast internet, and projector for streaming. Enjoy your private deck over the shared garden with hammock and H/C outdoor shower. Bus and train nearby with ample on-street parking.",Human,81,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,Human,text
